round-1 wave 2F, dialect-marker firings over the 300-document pre-2022 human Arabic corpus

Generated by a one-off script over corpus/raw/*.txt with lib/lang.js's LEXICONS and
lib/arabic-normalize.js (taMarbuta: false). `docs` counts documents in which the
marker fired at least once; `hits` sums occurrences. Every marker listed here fired
on text written before 2022-11-30, so every hit is a false dialect signal.

engine: 949da07 (working tree:  1 file changed, 1 insertion(+), 1 deletion(-))
date: 2026-09-17T20:16:05Z

marker            docs hits   sample contexts (300 pre-2022 human MSA/news docs)
egt:دي               18   29    وعشيقها فيرناو بيريس دي ترافا معلنا نفسه // فري بي اس دي ضمن مشروع كما
egt:يعني             21   22    تضمين الفضاء المكمم يعني وجود اقل مسافة // و فيت حيث يعني الاول الوعاء المصنوع
egt:دول              15   18    منخفضة مقارنة ببقية دول منظمة التعاون والتنمية // في المرتبة بين دول العالم المتقدمة وفقا
egt:ايه               3   17    انتونوف ايه ان بالاوكرانية ماريا // اصبحت طائرة انتونوف ايه ان اثقل واكبر
egt:بقى               7    8    كتاب الرحلة الذي بقي المرجع الكبير في // الحكم قام باعادة بقي انجونغ ملكا علي
egt:والله             3    3    يا معشر قريش والله ما علي هذا // المقول فيه غائبا والله اعلم وقال الهيتمي
egt:طب                2    3    جدا في علم طب الاسنان وجراحة الفكين // ماري تاندون مهندسة طب حيوي امريكية وهي
egt:روح               1    1    بالطبع لا يعكس روح التونسيين تجاه القضية
shami:هاي             1    1    تويتر هانجت سيوه هاي سوانج كتب جيونج
